DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20150518,2015.3767,-88.2,106.7,7.3,rrr,2.6,2.6,8.5,0.0253,Southern_California.20150518.stacov.point-2016/02/16-12:26:03 
20150519,2015.3795,-86.7,107.1,10.9,rrr,2.6,2.6,8.8,-0.0093,Southern_California.20150519.stacov.point-2016/02/16-12:26:05 
20150521,2015.3849,-89.0,106.9,12.2,rrr,2.6,2.6,8.5,0.0577,Southern_California.20150521.stacov.point-2016/02/16-12:26:07 
20150523,2015.3904,-87.1,106.2,12.9,rrr,2.6,2.6,8.5,0.0391,Southern_California.20150523.stacov.point-2016/02/16-12:26:11 
20150524,2015.3932,-87.5,106.1,16.2,rrr,2.5,2.6,8.5,0.0304,Southern_California.20150524.stacov.point-2016/02/16-12:26:12 
20150525,2015.3959,-87.1,106.7,13.1,rrr,2.5,2.6,8.6,0.0316,Southern_California.20150525.stacov.point-2016/02/16-12:26:14 
20150526,2015.3986,-88.7,105.7,22.5,rrr,2.6,2.6,8.5,0.0383,Southern_California.20150526.stacov.point-2016/02/16-12:26:15 
20150528,2015.4041,-88.3,106.6,11.5,rrr,2.6,2.6,8.8,-0.0098,Southern_California.20150528.stacov.point-2016/02/16-12:26:18 
20150531,2015.4123,-88.4,105.8,9.9,rrr,2.6,2.6,8.5,0.0266,Southern_California.20150531.stacov.point-2016/02/16-12:26:22 
20150601,2015.4151,-88.6,105.3,14.4,rrr,2.5,2.6,8.5,0.0375,Southern_California.20150601.stacov.point-2016/02/16-12:26:24 
20150603,2015.4205,-89.4,105.6,18.0,rrr,2.6,2.6,8.5,0.0366,Southern_California.20150603.stacov.point-2016/02/16-12:26:27 
20150604,2015.4233,-88.8,105.8,10.0,rrr,2.6,2.7,8.5,0.0145,Southern_California.20150604.stacov.point-2016/02/16-12:26:29 
20150605,2015.426,-87.0,106.5,13.5,rrr,2.6,2.7,8.5,0.0125,Southern_California.20150605.stacov.point-2016/02/16-12:26:31 
20150606,2015.4288,-88.9,105.1,16.1,rrr,2.6,2.6,8.5,0.0355,Southern_California.20150606.stacov.point-2016/02/16-12:26:32 
20150607,2015.4315,-87.9,105.1,5.2,rrr,2.6,2.6,8.7,0.0046,Southern_California.20150607.stacov.point-2016/02/16-12:26:34 
20150608,2015.4342,-85.7,106.2,16.5,rrr,2.6,2.8,8.9,0.0567,Southern_California.20150608.stacov.point-2016/02/16-12:26:35 
20150609,2015.437,-84.4,106.5,13.5,rrr,2.6,2.6,8.8,0.0161,Southern_California.20150609.stacov.point-2016/02/16-12:26:36 
20150610,2015.4397,-86.5,105.1,11.7,rrr,2.6,2.6,8.5,0.0346,Southern_California.20150610.stacov.point-2016/02/16-12:26:38 
20150611,2015.4424,-86.0,106.0,9.4,rrr,2.7,2.7,8.7,0.0005,Southern_California.20150611.stacov.point-2016/02/16-12:26:39 
20150612,2015.4452,-88.5,104.7,9.8,rrr,2.6,2.6,8.5,0.0195,Southern_California.20150612.stacov.point-2016/02/16-12:26:41 
20150613,2015.4479,-85.9,104.9,8.7,rrr,2.6,2.7,8.5,0.0375,Southern_California.20150613.stacov.point-2016/02/16-12:26:42 
20150614,2015.4507,-85.6,105.7,12.9,rrr,2.6,2.6,8.5,0.0373,Southern_California.20150614.stacov.point-2016/02/16-12:26:43 
20150615,2015.4534,-84.8,105.8,9.1,rrr,2.6,2.7,8.5,0.0222,Southern_California.20150615.stacov.point-2016/02/16-12:26:45 
20150616,2015.4561,-85.2,104.8,7.1,rrr,2.5,2.7,8.4,0.0377,Southern_California.20150616.stacov.point-2016/02/16-12:26:48 
20150617,2015.4589,-84.5,105.9,11.5,rrr,2.6,2.7,8.7,-0.0026,Southern_California.20150617.stacov.point-2016/02/16-12:26:49 
20150618,2015.4616,-85.2,106.1,10.7,rrr,2.6,2.9,8.9,0.0555,Southern_California.20150618.stacov.point-2016/02/16-12:26:51 
20150619,2015.4643,-84.6,105.7,8.7,rrr,2.6,2.8,8.9,0.059,Southern_California.20150619.stacov.point-2016/02/16-12:26:52 
20150620,2015.4671,-86.4,104.3,14.8,rrr,2.5,2.7,8.4,0.043,Southern_California.20150620.stacov.point-2016/02/16-12:26:54 
20150621,2015.4698,-85.4,104.5,10.7,rrr,2.6,2.6,8.5,0.0347,Southern_California.20150621.stacov.point-2016/02/16-12:26:55 
20150622,2015.4726,-84.0,104.3,9.1,rrr,2.6,2.6,8.5,0.0234,Southern_California.20150622.stacov.point-2016/02/16-12:26:56 
20150623,2015.4753,-85.2,104.1,5.4,rrr,2.6,2.7,8.7,0.0225,Southern_California.20150623.stacov.point-2016/02/16-12:26:58 
20150624,2015.478,-86.3,104.4,4.4,rrr,2.6,2.7,8.5,0.0299,Southern_California.20150624.stacov.point-2016/02/16-12:26:59 
20150625,2015.4808,-84.2,104.7,11.4,rrr,2.6,2.7,8.7,-0.0078,Southern_California.20150625.stacov.point-2016/02/16-12:27:01 
20150626,2015.4835,-83.5,104.7,12.3,rrr,2.6,2.6,8.7,0.0102,Southern_California.20150626.stacov.point-2016/02/16-12:27:02 
20150627,2015.4863,-83.1,104.9,12.0,rrr,2.6,2.7,8.7,0.0059,Southern_California.20150627.stacov.point-2016/02/16-12:27:03 
20150628,2015.489,-84.8,102.2,4.8,rrr,2.6,2.6,8.5,0.0363,Southern_California.20150628.stacov.point-2016/02/16-12:27:05 
20150629,2015.4917,-83.3,104.6,10.8,rrr,2.6,2.6,8.5,0.0407,Southern_California.20150629.stacov.point-2016/02/16-12:27:06 
20150630,2015.4945,-84.5,105.1,18.6,rrr,2.6,2.8,8.9,0.0436,Southern_California.20150630.stacov.point-2016/02/16-12:27:08 
20150701,2015.4972,-83.7,107.6,15.4,rrr,2.7,2.8,9.1,0.0166,Southern_California.20150701.stacov.point-2016/02/16-12:27:09 
20150702,2015.4999,-84.1,105.8,15.8,rrr,2.7,2.7,9.2,0.0124,Southern_California.20150702.stacov.point-2016/02/16-12:27:11 
20150703,2015.5027,-83.6,106.6,12.6,rrr,2.6,2.6,8.5,0.0233,Southern_California.20150703.stacov.point-2016/02/16-12:27:12 
20150704,2015.5054,-84.9,103.4,1.0,rrr,2.6,2.6,8.5,0.0446,Southern_California.20150704.stacov.point-2016/02/16-12:27:13 
20150705,2015.5082,-84.5,106.0,5.4,rrr,2.5,2.7,8.4,0.0519,Southern_California.20150705.stacov.point-2016/02/16-12:27:15 
20150706,2015.5109,-84.1,103.1,11.5,rrr,2.6,2.6,8.5,0.0278,Southern_California.20150706.stacov.point-2016/02/16-12:27:16 
20150707,2015.5136,-84.7,104.0,10.6,rrr,2.5,2.7,8.4,0.0458,Southern_California.20150707.stacov.point-2016/02/16-12:27:18 
20150708,2015.5164,-84.5,103.3,9.2,rrr,2.5,2.6,8.4,0.0323,Southern_California.20150708.stacov.point-2016/02/16-12:27:19 
20150709,2015.5191,-84.8,102.5,12.1,rrr,2.6,2.6,8.7,-0.0035,Southern_California.20150709.stacov.point-2016/02/16-12:27:20 
20150710,2015.5218,-85.6,103.3,17.2,rrr,2.5,2.7,8.4,0.042,Southern_California.20150710.stacov.point-2016/02/16-12:27:22 
20150711,2015.5246,-83.7,104.3,14.3,rrr,2.6,2.7,8.5,0.0275,Southern_California.20150711.stacov.point-2016/02/16-12:27:23 
20150712,2015.5273,-84.2,104.1,16.7,rrr,2.6,2.6,8.5,0.0331,Southern_California.20150712.stacov.point-2016/02/16-12:27:25 
20150713,2015.5301,-84.2,104.9,15.2,rrr,2.5,2.7,8.4,0.0361,Southern_California.20150713.stacov.point-2016/02/16-12:27:26 
20150714,2015.5328,-83.5,103.4,5.6,rrr,2.6,2.6,8.5,0.0375,Southern_California.20150714.stacov.point-2016/02/16-12:27:27 
20150715,2015.5355,-83.3,103.5,16.5,rrr,2.5,2.7,8.4,0.0402,Southern_California.20150715.stacov.point-2016/02/16-12:27:29 
20150716,2015.5383,-83.6,103.0,8.9,rrr,2.6,2.7,8.5,0.0283,Southern_California.20150716.stacov.point-2016/02/16-12:27:30 
20150717,2015.541,-84.8,102.3,9.4,rrr,2.6,2.7,8.5,0.0178,Southern_California.20150717.stacov.point-2016/02/16-12:27:32 
20150718,2015.5437,-80.0,100.7,21.5,rrr,2.6,2.7,8.7,-0.0114,Southern_California.20150718.stacov.point-2016/02/16-12:27:33 
20150719,2015.5465,-83.1,101.7,12.2,rrr,2.6,2.7,8.7,0.0043,Southern_California.20150719.stacov.point-2016/02/16-12:27:35 
20150720,2015.5492,-81.3,103.3,15.8,rrr,2.6,2.7,8.7,0.009,Southern_California.20150720.stacov.point-2016/02/16-12:27:36 
20150721,2015.552,-82.6,102.7,10.4,rrr,2.6,2.6,8.7,-0.0073,Southern_California.20150721.stacov.point-2016/02/16-12:27:38 
20150722,2015.5547,-83.0,101.4,12.6,rrr,2.6,2.7,8.5,0.0339,Southern_California.20150722.stacov.point-2016/02/16-12:27:39 
20150723,2015.5574,-84.0,103.4,5.7,rrr,2.6,2.6,8.7,-0.0006,Southern_California.20150723.stacov.point-2016/02/16-12:27:40 
20150724,2015.5602,-81.9,101.6,2.5,rrr,2.6,2.7,8.5,0.0182,Southern_California.20150724.stacov.point-2016/02/16-12:27:42 
20150725,2015.5629,-84.0,101.6,6.0,rrr,2.5,2.5,8.2,-0.0283,Southern_California.20150725.stacov.point-2016/02/16-12:27:43 
20150726,2015.5657,-82.5,102.1,13.2,rrr,2.5,2.6,8.4,0.0445,Southern_California.20150726.stacov.point-2016/02/16-12:27:45 
20150727,2015.5684,-82.0,102.9,12.2,rrr,2.5,2.7,8.4,0.0329,Southern_California.20150727.stacov.point-2016/02/16-12:27:46 
20150728,2015.5711,-82.6,102.1,11.2,rrr,2.6,2.6,8.7,0.019,Southern_California.20150728.stacov.point-2016/02/16-12:27:48 
20150729,2015.5739,-82.6,103.0,18.0,rrr,2.7,2.8,9.0,0.058,Southern_California.20150729.stacov.point-2016/02/16-12:27:49 
20150730,2015.5766,-80.9,102.6,14.9,rrr,2.6,2.7,8.5,0.0145,Southern_California.20150730.stacov.point-2016/02/16-12:27:51 
20150731,2015.5793,-79.5,103.3,12.5,rrr,2.6,2.6,8.5,0.0252,Southern_California.20150731.stacov.point-2016/02/16-12:27:52 
20150801,2015.5821,-84.1,101.9,13.3,rrr,2.5,2.6,8.5,0.0283,Southern_California.20150801.stacov.point-2016/02/16-12:27:53 
20150802,2015.5848,-83.5,100.9,13.2,rrr,2.6,2.7,8.5,0.0156,Southern_California.20150802.stacov.point-2016/02/16-12:27:55 
20150803,2015.5876,-82.4,99.2,12.5,rrr,2.6,2.7,8.7,0.0002,Southern_California.20150803.stacov.point-2016/02/16-12:27:56 
20150804,2015.5903,-82.2,99.4,13.0,rrr,2.5,2.7,8.8,-0.011,Southern_California.20150804.stacov.point-2016/02/16-12:27:58 
20150805,2015.593,-82.6,99.2,9.4,rrr,2.5,2.6,8.5,0.0146,Southern_California.20150805.stacov.point-2016/02/16-12:27:59 
20150806,2015.5958,-83.5,99.7,6.0,rrr,2.6,2.7,8.5,0.0185,Southern_California.20150806.stacov.point-2016/02/16-12:28:01 
20150807,2015.5985,-81.0,100.1,8.5,rrr,2.6,2.7,8.5,0.0255,Southern_California.20150807.stacov.point-2016/02/16-12:28:02 
20150808,2015.6012,-81.9,100.8,12.1,rrr,2.6,2.6,8.5,0.0386,Southern_California.20150808.stacov.point-2016/02/16-12:28:04 
20150809,2015.604,-81.5,101.0,12.5,rrr,2.6,2.8,8.7,-0.0189,Southern_California.20150809.stacov.point-2016/02/16-12:28:05 
20150810,2015.6067,-80.9,99.7,15.4,rrr,2.6,2.7,8.7,0.0164,Southern_California.20150810.stacov.point-2016/02/16-12:28:06 
20150811,2015.6095,-81.6,99.9,12.2,rrr,2.6,2.7,8.5,0.0388,Southern_California.20150811.stacov.point-2016/02/16-12:28:08 
20150812,2015.6122,-79.3,102.3,8.6,rrr,2.5,2.7,8.4,0.0313,Southern_California.20150812.stacov.point-2016/02/16-12:28:09 
20150813,2015.6149,-75.2,112.4,26.9,rrr,2.6,2.7,8.5,0.0336,Southern_California.20150813.stacov.point-2016/02/16-12:28:11 
20150814,2015.6177,-81.5,97.2,13.1,rrr,2.6,2.7,8.5,0.0252,Southern_California.20150814.stacov.point-2016/02/16-12:28:12 
20150815,2015.6204,-81.2,97.8,13.8,rrr,2.6,2.7,8.7,-0.0016,Southern_California.20150815.stacov.point-2016/02/16-12:28:14 
20150816,2015.6231,-77.4,109.6,26.1,rrr,2.6,2.7,8.5,0.0409,Southern_California.20150816.stacov.point-2016/02/16-12:28:15 
20150817,2015.6259,-80.2,98.1,17.0,rrr,2.5,2.7,8.4,0.0486,Southern_California.20150817.stacov.point-2016/02/16-12:28:17 
20150818,2015.6286,-79.2,99.3,11.5,rrr,2.6,2.7,8.5,0.0456,Southern_California.20150818.stacov.point-2016/02/16-12:28:18 
20150819,2015.6314,-79.1,97.8,10.4,rrr,2.6,2.7,8.5,0.0269,Southern_California.20150819.stacov.point-2016/02/16-12:28:19 
20150820,2015.6341,-79.5,98.2,9.3,rrr,2.5,2.7,8.4,0.0386,Southern_California.20150820.stacov.point-2016/02/16-12:28:21 
20150821,2015.6368,-80.2,98.3,13.9,rrr,2.6,2.7,8.5,0.0245,Southern_California.20150821.stacov.point-2016/02/16-12:28:22 
20150822,2015.6396,-81.4,97.4,13.3,rrr,2.6,2.7,8.5,0.0289,Southern_California.20150822.stacov.point-2016/02/16-12:28:24 
20150823,2015.6423,-79.7,97.8,11.3,rrr,2.6,2.7,8.5,0.0402,Southern_California.20150823.stacov.point-2016/02/16-12:28:25 
20150824,2015.6451,-77.9,97.8,6.0,rrr,2.5,2.7,8.4,0.0513,Southern_California.20150824.stacov.point-2016/02/16-12:28:27 
20150825,2015.6478,-79.7,100.2,4.3,rrr,2.6,2.7,8.5,0.0434,Southern_California.20150825.stacov.point-2016/02/16-12:28:28 
20150826,2015.6505,-77.9,100.6,9.2,rrr,2.6,2.7,8.5,0.0334,Southern_California.20150826.stacov.point-2016/02/16-12:28:30 
20150827,2015.6533,-80.1,97.9,9.2,rrr,2.6,2.7,8.7,0.0106,Southern_California.20150827.stacov.point-2016/02/16-12:28:31 
20150828,2015.656,-79.8,99.1,17.0,rrr,2.6,2.7,8.5,0.0357,Southern_California.20150828.stacov.point-2016/02/16-12:28:33 
20150829,2015.6587,-80.4,96.2,12.5,rrr,2.6,2.7,8.5,0.0315,Southern_California.20150829.stacov.point-2016/02/16-12:28:34 
20150830,2015.6615,-79.4,97.6,12.8,rrr,2.6,2.7,8.5,0.0282,Southern_California.20150830.stacov.point-2016/02/16-12:28:36 
20150831,2015.6642,-79.3,97.8,11.0,rrr,2.6,2.7,8.5,0.0336,Southern_California.20150831.stacov.point-2016/02/16-12:28:37 
20150901,2015.667,-79.7,99.5,15.8,rrr,2.6,2.7,8.7,0.01,Southern_California.20150901.stacov.point-2016/02/16-12:28:38 
20150902,2015.6697,-77.8,97.7,13.0,rrr,2.6,2.7,8.7,0.0029,Southern_California.20150902.stacov.point-2016/02/16-12:28:40 
20150903,2015.6724,-79.2,98.5,11.3,rrr,2.6,2.6,8.5,0.0242,Southern_California.20150903.stacov.point-2016/02/16-12:28:41 
20150904,2015.6752,-76.2,97.6,19.9,rrr,2.6,2.7,8.7,0.0145,Southern_California.20150904.stacov.point-2016/02/16-12:28:43 
20150905,2015.6779,-78.1,97.7,11.2,rrr,2.6,2.7,8.7,-0.0172,Southern_California.20150905.stacov.point-2016/02/16-12:28:44 
20150906,2015.6806,-78.2,96.3,8.9,rrr,2.5,2.7,8.5,0.0128,Southern_California.20150906.stacov.point-2016/02/16-12:28:46 
20150907,2015.6834,-77.7,97.8,13.1,rrr,2.6,2.7,8.5,0.0276,Southern_California.20150907.stacov.point-2016/02/16-12:28:47 
20150908,2015.6861,-77.8,96.7,17.9,rrr,2.6,2.7,8.7,0.0098,Southern_California.20150908.stacov.point-2016/02/16-12:28:49 
20150909,2015.6889,-76.3,97.6,14.9,rrr,2.8,2.9,9.2,0.013,Southern_California.20150909.stacov.point-2016/02/16-12:28:51 
20150910,2015.6916,-77.8,96.1,15.4,rrr,2.6,2.6,8.8,0.0006,Southern_California.20150910.stacov.point-2016/02/16-12:28:52 
20150911,2015.6943,-77.7,97.0,17.1,rrr,2.7,2.9,9.2,-0.0115,Southern_California.20150911.stacov.point-2016/02/16-12:28:54 
20150912,2015.6971,-77.3,97.8,18.2,rrr,2.7,2.8,9.2,0.0091,Southern_California.20150912.stacov.point-2016/02/16-12:28:55 
20150913,2015.6998,-74.6,98.8,5.0,rrr,2.7,2.8,9.2,0.029,Southern_California.20150913.stacov.point-2016/02/16-12:28:57 
20150914,2015.7025,-77.0,96.9,24.7,rrr,2.7,2.8,9.2,0.0253,Southern_California.20150914.stacov.point-2016/02/16-12:28:58 
20150915,2015.7053,-77.9,96.7,14.6,rrr,2.6,2.7,8.7,-0.0099,Southern_California.20150915.stacov.point-2016/02/16-12:29:00 
20150916,2015.708,-75.8,95.9,20.6,rrr,2.6,2.8,9.0,0.0663,Southern_California.20150916.stacov.point-2016/02/16-12:29:01 
20150917,2015.7108,-76.4,95.6,13.6,rrr,2.6,2.7,8.5,0.0272,Southern_California.20150917.stacov.point-2016/02/16-12:29:03 
20150918,2015.7135,-77.2,96.9,13.8,rrr,2.6,2.7,8.5,0.0349,Southern_California.20150918.stacov.point-2016/02/16-12:29:04 
20150919,2015.7162,-76.7,97.4,16.4,rrr,2.6,2.7,8.7,0.0038,Southern_California.20150919.stacov.point-2016/02/16-12:29:06 
20150920,2015.719,-74.2,95.2,13.0,rrr,2.6,2.7,8.7,0.022,Southern_California.20150920.stacov.point-2016/02/16-12:29:07 
20150921,2015.7217,-76.6,97.7,19.2,rrr,2.6,2.7,8.7,-0.0025,Southern_California.20150921.stacov.point-2016/02/16-12:29:09 
20150922,2015.7244,-76.1,95.5,15.2,rrr,2.6,2.7,8.7,0.0036,Southern_California.20150922.stacov.point-2016/02/16-12:29:10 
20150923,2015.7272,-75.9,96.4,13.6,rrr,2.6,2.7,8.5,0.0533,Southern_California.20150923.stacov.point-2016/02/16-12:29:12 
20150924,2015.7299,-78.2,95.9,16.4,rrr,2.6,2.7,8.7,0.0108,Southern_California.20150924.stacov.point-2016/02/16-12:29:13 
20150925,2015.7327,-76.6,95.7,16.2,rrr,2.6,2.7,8.7,0.0063,Southern_California.20150925.stacov.point-2016/02/16-12:29:15 
20150926,2015.7354,-76.4,94.0,10.2,rrr,2.6,2.8,9.0,0.0495,Southern_California.20150926.stacov.point-2016/02/16-12:29:17 
20150927,2015.7381,-77.5,96.1,19.4,rrr,2.5,2.7,8.5,0.0134,Southern_California.20150927.stacov.point-2016/02/16-12:29:18 
20150928,2015.7409,-75.0,96.1,19.9,rrr,2.7,2.8,9.2,-0.0099,Southern_California.20150928.stacov.point-2016/02/16-12:29:20 
20150929,2015.7436,-77.7,95.4,20.2,rrr,2.7,2.9,9.2,0.0187,Southern_California.20150929.stacov.point-2016/02/16-12:29:22 
20150930,2015.7464,-76.6,95.5,20.6,rrr,2.7,2.9,9.4,0.001,Southern_California.20150930.stacov.point-2016/02/16-12:29:23 
20151001,2015.7491,-77.4,95.6,24.7,rrr,2.7,2.9,9.4,0.0238,Southern_California.20151001.stacov.point-2016/02/16-12:29:25 
20151002,2015.7518,-77.7,95.9,24.7,rrr,2.6,2.8,8.9,0.0105,Southern_California.20151002.stacov.point-2016/02/16-12:29:26 
20151003,2015.7546,-76.5,94.2,21.6,rrr,2.6,2.7,8.7,0.0044,Southern_California.20151003.stacov.point-2016/02/16-12:29:28 
20151004,2015.7573,-76.5,95.7,23.8,rrr,2.7,2.8,9.2,0.0039,Southern_California.20151004.stacov.point-2016/02/16-12:29:29 
20151005,2015.76,-76.5,95.4,17.9,rrr,2.6,2.7,8.7,0.0171,Southern_California.20151005.stacov.point-2016/02/16-12:29:31 
20151006,2015.7628,-75.8,95.2,17.2,rrr,2.5,2.7,8.5,0.048,Southern_California.20151006.stacov.point-2016/02/16-12:29:32 
20151007,2015.7655,-76.6,95.2,14.1,rrr,2.6,2.7,8.7,0.0098,Southern_California.20151007.stacov.point-2016/02/16-12:29:34 
20151008,2015.7683,-76.2,94.1,17.6,rrr,2.6,2.7,8.7,0.0213,Southern_California.20151008.stacov.point-2016/02/16-12:29:35 
20151009,2015.771,-76.2,96.2,18.0,rrr,2.6,2.7,8.7,-0.0005,Southern_California.20151009.stacov.point-2016/02/16-12:29:37 
20151010,2015.7737,-77.3,95.4,18.9,rrr,2.6,2.9,8.9,0.0466,Southern_California.20151010.stacov.point-2016/02/16-12:29:39 
20151011,2015.7765,-76.4,95.4,17.4,rrr,2.5,2.7,8.5,0.0296,Southern_California.20151011.stacov.point-2016/02/16-12:29:40 
20151012,2015.7792,-76.5,93.3,22.4,rrr,2.7,2.9,9.2,0.0236,Southern_California.20151012.stacov.point-2016/02/16-12:29:42 
20151013,2015.7819,-74.0,95.4,23.2,rrr,2.7,2.8,9.2,0.015,Southern_California.20151013.stacov.point-2016/02/16-12:29:43 
20151014,2015.7847,-75.5,95.6,22.3,rrr,2.7,2.8,9.2,-0.0072,Southern_California.20151014.stacov.point-2016/02/16-12:29:45 
20151015,2015.7874,-73.1,94.1,33.0,rrr,2.8,3.0,9.9,0.0106,Southern_California.20151015.stacov.point-2016/02/16-12:29:46 
20151016,2015.7902,-74.9,94.2,18.6,rrr,2.7,3.0,9.6,0.0682,Southern_California.20151016.stacov.point-2016/02/16-12:29:48 
20151017,2015.7929,-75.7,95.3,17.7,rrr,2.7,2.9,9.2,0.0279,Southern_California.20151017.stacov.point-2016/02/16-12:29:49 
20151018,2015.7956,-74.5,93.6,23.7,rrr,2.7,2.9,9.2,0.0215,Southern_California.20151018.stacov.point-2016/02/16-12:29:51 
20151019,2015.7984,-73.0,93.5,21.8,rrr,2.7,2.9,9.4,0.0098,Southern_California.20151019.stacov.point-2016/02/16-12:29:52 
20151020,2015.8011,-75.5,92.9,16.2,rrr,2.8,3.0,9.7,0.039,Southern_California.20151020.stacov.point-2016/02/16-12:29:55 
20151021,2015.8038,-74.8,92.2,16.7,rrr,2.6,2.9,9.2,0.0452,Southern_California.20151021.stacov.point-2016/02/16-12:29:58 
20151022,2015.8066,-74.7,93.3,20.6,rrr,2.7,2.9,9.2,0.0509,Southern_California.20151022.stacov.point-2016/02/16-12:29:59 
20151023,2015.8093,-73.2,94.0,17.1,rrr,2.7,2.9,9.2,0.0322,Southern_California.20151023.stacov.point-2016/02/16-12:30:01 
20151024,2015.8121,-74.4,93.2,18.6,rrr,2.7,2.9,9.2,0.0388,Southern_California.20151024.stacov.point-2016/02/16-12:30:02 
20151025,2015.8148,-73.0,93.7,24.0,rrr,2.7,2.9,9.2,0.0317,Southern_California.20151025.stacov.point-2016/02/16-12:30:05 
20151026,2015.8175,-73.0,95.5,16.9,rrr,2.6,2.8,9.2,0.0246,Southern_California.20151026.stacov.point-2016/02/16-12:30:06 
20151027,2015.8203,-73.5,95.4,19.5,rrr,2.8,3.0,9.7,0.0651,Southern_California.20151027.stacov.point-2016/02/16-12:30:07 
20151028,2015.823,-74.3,91.4,26.3,rrr,2.8,3.0,9.7,0.0269,Southern_California.20151028.stacov.point-2016/02/16-12:30:09 
20151029,2015.8258,-73.2,92.6,31.2,rrr,2.7,3.0,9.3,0.0828,Southern_California.20151029.stacov.point-2016/02/16-12:30:12 
20151030,2015.8285,-74.7,93.6,33.2,rrr,2.7,2.9,9.2,0.0244,Southern_California.20151030.stacov.point-2016/02/16-12:30:13 
20151031,2015.8312,-75.0,95.2,24.1,rrr,2.7,3.0,9.5,0.0564,Southern_California.20151031.stacov.point-2016/02/16-12:30:15 
20151101,2015.8341,-73.9,94.9,22.8,rrr,2.7,2.9,9.2,0.0181,Southern_California.20151101.stacov.point-2016/02/16-12:30:16 
20151102,2015.8368,-73.4,93.1,21.5,rrr,2.7,2.9,9.2,0.0431,Southern_California.20151102.stacov.point-2016/02/16-12:30:18 
20151103,2015.8396,-72.9,92.3,25.5,rrr,2.7,2.9,9.4,-0.0028,Southern_California.20151103.stacov.point-2016/02/16-12:30:20 
20151104,2015.8423,-73.9,93.5,19.0,rrr,2.9,3.3,10.2,0.055,Southern_California.20151104.stacov.point-2016/02/16-12:30:22 
20151105,2015.845,-72.9,92.4,16.1,rrr,2.7,2.9,9.2,0.0213,Southern_California.20151105.stacov.point-2016/02/16-12:30:23 
20151106,2015.8478,-72.5,93.9,21.7,rrr,2.7,2.9,9.2,0.0104,Southern_California.20151106.stacov.point-2016/02/16-12:30:26 
20151107,2015.8505,-72.6,93.5,18.7,rrr,2.7,2.9,9.2,0.0408,Southern_California.20151107.stacov.point-2016/02/16-12:30:28 
20151108,2015.8532,-71.6,91.4,16.8,rrr,2.6,2.9,9.0,0.0405,Southern_California.20151108.stacov.point-2016/02/16-12:30:29 
20151109,2015.856,-71.7,94.4,25.1,rrr,2.8,3.1,9.7,0.0423,Southern_California.20151109.stacov.point-2016/02/16-12:30:31 
20151110,2015.8587,-71.4,92.5,20.2,rrr,2.8,3.0,9.7,0.0492,Southern_California.20151110.stacov.point-2016/02/16-12:30:33 
20151111,2015.8615,-72.4,91.9,16.6,rrr,2.7,3.0,9.4,0.0718,Southern_California.20151111.stacov.point-2016/02/16-12:30:34 
20151112,2015.8642,-72.3,92.7,18.5,rrr,2.7,2.9,9.2,0.0257,Southern_California.20151112.stacov.point-2016/02/16-12:30:36 
20151113,2015.8669,-72.8,92.2,21.3,rrr,2.7,3.1,9.5,0.043,Southern_California.20151113.stacov.point-2016/02/16-12:30:37 
20151114,2015.8697,-72.4,91.6,19.1,rrr,2.7,3.1,9.7,0.0291,Southern_California.20151114.stacov.point-2016/02/16-12:30:39 
20151115,2015.8724,-72.4,93.1,33.3,rrr,2.7,3.0,9.7,0.05,Southern_California.20151115.stacov.point-2016/02/16-12:30:40 
20151116,2015.8751,-70.9,92.2,20.2,rrr,2.9,3.2,10.0,0.0592,Southern_California.20151116.stacov.point-2016/02/16-12:30:42 
20151117,2015.8779,-72.4,91.2,18.8,rrr,2.9,3.2,10.2,0.0536,Southern_California.20151117.stacov.point-2016/02/16-12:30:43 
20151118,2015.8806,-71.6,92.7,22.2,rrr,2.8,3.2,10.3,0.0023,Southern_California.20151118.stacov.point-2016/02/16-12:30:45 
20151119,2015.8834,-70.5,90.5,18.3,rrr,2.6,2.7,8.7,0.0209,Southern_California.20151119.stacov.point-2016/02/16-12:30:47 
20151120,2015.8861,-70.6,91.5,16.5,rrr,2.5,2.7,8.5,0.0317,Southern_California.20151120.stacov.point-2016/02/16-12:30:48 
20151121,2015.8888,-70.2,92.0,13.7,rrr,2.6,2.7,8.8,0.0056,Southern_California.20151121.stacov.point-2016/02/16-12:30:50 
20151122,2015.8916,-70.2,92.5,18.3,rrr,2.6,2.9,8.9,0.0788,Southern_California.20151122.stacov.point-2016/02/16-12:30:51 
20151123,2015.8943,-70.4,93.3,18.7,rrr,2.6,2.7,8.8,-0.0029,Southern_California.20151123.stacov.point-2016/02/16-12:30:53 
20151124,2015.8971,-71.3,91.6,20.3,rrr,2.5,2.7,8.5,0.0529,Southern_California.20151124.stacov.point-2016/02/16-12:30:54 
20151125,2015.8998,-70.3,91.4,24.5,rrr,2.6,2.7,8.9,0.0119,Southern_California.20151125.stacov.point-2016/02/16-12:30:56 
20151126,2015.9025,-71.8,90.3,11.9,rrr,2.6,2.8,8.5,0.0389,Southern_California.20151126.stacov.point-2016/02/16-12:30:57 
20151127,2015.9053,-70.8,91.5,8.1,rrr,2.5,2.7,8.5,0.0227,Southern_California.20151127.stacov.point-2016/02/16-12:30:59 
