DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20130404,2013.2576,-77.4,76.2,-5.6,rrr,2.6,2.9,8.8,0.0529,Southern_California.20130404.stacov.point-2016/02/16-12:01:09 
20130405,2013.2603,-79.0,74.9,-4.0,rrr,2.4,2.6,8.4,0.0106,Southern_California.20130405.stacov.point-2016/02/16-12:01:11 
20130406,2013.2631,-76.2,76.5,-5.8,rrr,2.4,2.7,8.1,0.0051,Southern_California.20130406.stacov.point-2016/02/16-12:01:12 
20130407,2013.2658,-79.4,77.1,-6.1,rrr,2.4,2.8,8.5,0.0483,Southern_California.20130407.stacov.point-2016/02/16-12:01:13 
20130408,2013.2685,-79.1,76.3,0.3,rrr,2.5,2.9,8.4,0.0273,Southern_California.20130408.stacov.point-2016/02/16-12:01:15 
20130409,2013.2713,-80.3,75.9,-7.5,rrr,2.3,2.6,8.0,0.0387,Southern_California.20130409.stacov.point-2016/02/16-12:01:16 
20130410,2013.274,-79.1,76.6,-6.2,rrr,2.5,2.8,8.4,0.0456,Southern_California.20130410.stacov.point-2016/02/16-12:01:18 
20130411,2013.2768,-78.1,75.0,-6.2,rrr,2.4,2.9,8.2,0.0511,Southern_California.20130411.stacov.point-2016/02/16-12:01:19 
20130412,2013.2795,-80.4,77.2,-5.8,rrr,2.4,2.7,8.3,-0.0177,Southern_California.20130412.stacov.point-2016/02/16-12:01:20 
20130413,2013.2822,-77.8,76.7,-5.9,rrr,2.4,2.6,8.1,0.0005,Southern_California.20130413.stacov.point-2016/02/16-12:01:22 
20130414,2013.285,-79.9,76.5,-1.0,rrr,2.4,2.8,8.2,0.0615,Southern_California.20130414.stacov.point-2016/02/16-12:01:23 
20130415,2013.2877,-80.3,77.5,-3.9,rrr,2.4,2.8,8.2,0.0634,Southern_California.20130415.stacov.point-2016/02/16-12:01:25 
20130416,2013.2904,-78.8,75.7,-3.2,rrr,2.3,2.6,8.0,0.0435,Southern_California.20130416.stacov.point-2016/02/16-12:01:26 
20130417,2013.2932,-77.6,76.3,-9.2,rrr,2.3,2.6,8.0,0.0283,Southern_California.20130417.stacov.point-2016/02/16-12:01:27 
20130418,2013.2959,-78.6,76.1,-11.6,rrr,2.3,2.6,7.7,0.0626,Southern_California.20130418.stacov.point-2016/02/16-12:01:29 
20130419,2013.2987,-78.1,76.1,-11.7,rrr,2.4,2.6,8.0,0.0292,Southern_California.20130419.stacov.point-2016/02/16-12:01:30 
20130420,2013.3014,-78.8,76.5,-9.4,rrr,2.5,2.8,8.5,0.0749,Southern_California.20130420.stacov.point-2016/02/16-12:01:32 
20130421,2013.3041,-77.9,77.4,-7.7,rrr,2.3,2.6,8.0,0.0478,Southern_California.20130421.stacov.point-2016/02/16-12:01:33 
20130422,2013.3069,-77.8,77.7,-3.5,rrr,2.3,2.6,8.0,0.036,Southern_California.20130422.stacov.point-2016/02/16-12:01:35 
20130423,2013.3096,-76.6,78.0,-4.3,rrr,2.4,2.6,8.1,0.0238,Southern_California.20130423.stacov.point-2016/02/16-12:01:36 
20130424,2013.3124,-77.6,78.3,-4.1,rrr,2.4,2.6,8.1,0.0029,Southern_California.20130424.stacov.point-2016/02/16-12:01:37 
20130425,2013.3151,-77.6,76.4,-12.0,rrr,2.5,2.8,8.4,0.082,Southern_California.20130425.stacov.point-2016/02/16-12:01:39 
20130426,2013.3178,-77.8,77.0,-10.4,rrr,2.3,2.6,8.0,0.029,Southern_California.20130426.stacov.point-2016/02/16-12:01:40 
20130427,2013.3206,-78.3,74.3,-8.5,rrr,2.5,2.8,8.4,0.059,Southern_California.20130427.stacov.point-2016/02/16-12:01:42 
20130428,2013.3233,-78.0,75.3,-6.4,rrr,2.4,2.6,8.1,0.0598,Southern_California.20130428.stacov.point-2016/02/16-12:01:43 
20130429,2013.326,-79.2,75.5,-7.1,rrr,2.4,2.6,8.1,0.0448,Southern_California.20130429.stacov.point-2016/02/16-12:01:45 
20130502,2013.3343,-78.3,74.7,-8.4,rrr,4.9,5.1,26.4,-0.1456,Southern_California.20130502.stacov.point-2016/02/16-12:01:49 
20130503,2013.337,-78.8,75.4,-10.0,rrr,2.4,2.6,8.0,0.0502,Southern_California.20130503.stacov.point-2016/02/16-12:01:51 
20130504,2013.3397,-78.8,74.8,-7.3,rrr,2.4,2.6,8.1,0.0271,Southern_California.20130504.stacov.point-2016/02/16-12:01:53 
20130505,2013.3425,-78.4,75.8,-1.9,rrr,2.4,2.6,8.1,0.0047,Southern_California.20130505.stacov.point-2016/02/16-12:01:54 
20130506,2013.3452,-78.1,74.1,-11.7,rrr,2.4,2.8,8.4,0.0557,Southern_California.20130506.stacov.point-2016/02/16-12:01:55 
20130507,2013.3479,-78.3,75.4,-8.8,rrr,2.4,2.7,8.3,0.0266,Southern_California.20130507.stacov.point-2016/02/16-12:01:57 
20130508,2013.3507,-77.6,75.6,-10.8,rrr,2.4,2.6,8.1,0.0271,Southern_California.20130508.stacov.point-2016/02/16-12:01:58 
20130509,2013.3534,-76.4,74.5,-7.4,rrr,2.3,2.6,8.0,0.049,Southern_California.20130509.stacov.point-2016/02/16-12:02:00 
20130510,2013.3562,-79.4,74.6,-6.5,rrr,2.5,2.8,8.4,0.0734,Southern_California.20130510.stacov.point-2016/02/16-12:02:01 
20130511,2013.3589,-77.1,75.6,-12.0,rrr,2.4,2.8,8.2,0.0628,Southern_California.20130511.stacov.point-2016/02/16-12:02:03 
20130512,2013.3616,-77.6,75.2,-10.4,rrr,2.4,2.8,8.2,0.0919,Southern_California.20130512.stacov.point-2016/02/16-12:02:04 
20130513,2013.3644,-77.9,74.6,-7.5,rrr,2.4,2.8,8.5,0.0644,Southern_California.20130513.stacov.point-2016/02/16-12:02:05 
20130514,2013.3671,-77.2,75.8,-2.7,rrr,2.4,2.8,8.2,0.0682,Southern_California.20130514.stacov.point-2016/02/16-12:02:07 
20130515,2013.3698,-77.4,75.8,0.6,rrr,2.4,2.8,8.2,0.0729,Southern_California.20130515.stacov.point-2016/02/16-12:02:08 
20130516,2013.3726,-76.6,74.5,-5.1,rrr,2.4,2.6,8.1,0.039,Southern_California.20130516.stacov.point-2016/02/16-12:02:10 
20130517,2013.3753,-76.5,76.3,-15.0,rrr,2.4,2.8,8.4,0.0508,Southern_California.20130517.stacov.point-2016/02/16-12:02:11 
20130518,2013.3781,-77.3,75.1,-12.6,rrr,2.4,2.8,8.5,0.06,Southern_California.20130518.stacov.point-2016/02/16-12:02:12 
20130519,2013.3808,-77.9,73.7,-8.3,rrr,2.3,2.6,8.0,0.0321,Southern_California.20130519.stacov.point-2016/02/16-12:02:14 
20130520,2013.3835,-75.7,75.0,-6.3,rrr,2.4,2.8,8.2,0.0745,Southern_California.20130520.stacov.point-2016/02/16-12:02:15 
20130521,2013.3863,-74.9,74.0,-6.8,rrr,2.4,2.8,8.2,0.0713,Southern_California.20130521.stacov.point-2016/02/16-12:02:17 
20130522,2013.389,-76.4,75.8,-12.5,rrr,2.4,2.8,8.5,0.0597,Southern_California.20130522.stacov.point-2016/02/16-12:02:18 
20130523,2013.3918,-76.4,75.3,-4.9,rrr,2.4,2.8,8.2,0.0763,Southern_California.20130523.stacov.point-2016/02/16-12:02:20 
20130524,2013.3945,-76.3,75.6,-9.3,rrr,2.3,2.7,8.0,0.0385,Southern_California.20130524.stacov.point-2016/02/16-12:02:21 
20130525,2013.3972,-78.5,74.8,-4.0,rrr,2.4,2.8,8.2,0.0691,Southern_California.20130525.stacov.point-2016/02/16-12:02:23 
20130526,2013.4,-76.1,74.8,-5.0,rrr,2.3,2.8,8.1,0.0939,Southern_California.20130526.stacov.point-2016/02/16-12:02:24 
20130527,2013.4027,-76.8,72.8,-11.5,rrr,2.3,2.6,8.0,0.0372,Southern_California.20130527.stacov.point-2016/02/16-12:02:26 
20130528,2013.4054,-77.3,75.0,-0.7,rrr,2.4,2.6,8.1,0.0392,Southern_California.20130528.stacov.point-2016/02/16-12:02:27 
20130529,2013.4082,-74.0,74.9,-2.0,rrr,2.4,2.8,8.1,0.0949,Southern_California.20130529.stacov.point-2016/02/16-12:02:29 
20130530,2013.4109,-76.0,73.3,1.3,rrr,2.4,2.8,8.2,0.0578,Southern_California.20130530.stacov.point-2016/02/16-12:02:30 
20130531,2013.4137,-76.9,74.0,-4.0,rrr,2.5,2.8,8.4,0.0614,Southern_California.20130531.stacov.point-2016/02/16-12:02:32 
20130601,2013.4164,-75.2,74.8,-12.8,rrr,2.7,2.9,9.3,0.0334,Southern_California.20130601.stacov.point-2016/02/16-12:02:33 
20130602,2013.4191,-75.8,75.2,-5.8,rrr,2.4,2.7,8.5,0.0584,Southern_California.20130602.stacov.point-2016/02/16-12:02:34 
20130603,2013.4219,-74.8,74.9,-3.8,rrr,2.4,2.7,8.3,0.0667,Southern_California.20130603.stacov.point-2016/02/16-12:02:36 
20130604,2013.4246,-74.7,74.4,-5.0,rrr,2.4,2.8,8.2,0.0698,Southern_California.20130604.stacov.point-2016/02/16-12:02:37 
20130605,2013.4273,-76.0,74.1,-7.4,rrr,2.3,2.8,8.1,0.094,Southern_California.20130605.stacov.point-2016/02/16-12:02:39 
20130606,2013.4301,-75.2,76.4,-5.0,rrr,2.3,2.8,8.1,0.0996,Southern_California.20130606.stacov.point-2016/02/16-12:02:40 
20130607,2013.4328,-75.1,74.0,-2.1,rrr,2.3,2.8,8.1,0.0906,Southern_California.20130607.stacov.point-2016/02/16-12:02:42 
20130608,2013.4356,-73.8,75.0,-6.3,rrr,2.3,2.7,8.1,0.0976,Southern_California.20130608.stacov.point-2016/02/16-12:02:43 
20130609,2013.4383,-74.3,74.0,-9.1,rrr,2.5,2.7,8.5,0.0616,Southern_California.20130609.stacov.point-2016/02/16-12:02:44 
20130610,2013.441,-76.1,73.8,-3.7,rrr,2.4,2.8,8.3,0.0862,Southern_California.20130610.stacov.point-2016/02/16-12:02:46 
20130611,2013.4438,-74.0,73.7,-3.8,rrr,2.3,2.7,8.1,0.0966,Southern_California.20130611.stacov.point-2016/02/16-12:02:47 
20130612,2013.4465,-75.9,75.2,-5.5,rrr,2.4,2.7,8.5,0.0805,Southern_California.20130612.stacov.point-2016/02/16-12:02:49 
20130613,2013.4492,-74.3,74.5,-6.1,rrr,2.4,2.7,8.2,0.0632,Southern_California.20130613.stacov.point-2016/02/16-12:02:50 
20130614,2013.452,-73.5,75.5,-14.4,rrr,2.4,2.7,8.5,0.0552,Southern_California.20130614.stacov.point-2016/02/16-12:02:52 
20130615,2013.4547,-73.3,72.6,-8.9,rrr,2.3,2.8,8.1,0.0963,Southern_California.20130615.stacov.point-2016/02/16-12:02:53 
20130616,2013.4575,-73.4,74.3,-14.2,rrr,2.3,2.7,8.1,0.0844,Southern_California.20130616.stacov.point-2016/02/16-12:02:55 
20130617,2013.4602,-73.5,74.2,-14.0,rrr,2.3,2.6,8.0,0.0373,Southern_California.20130617.stacov.point-2016/02/16-12:02:56 
20130618,2013.4629,-74.8,74.2,-11.7,rrr,2.3,2.8,8.1,0.0911,Southern_California.20130618.stacov.point-2016/02/16-12:02:58 
20130619,2013.4657,-74.8,72.5,-7.3,rrr,2.3,2.6,8.0,0.0269,Southern_California.20130619.stacov.point-2016/02/16-12:02:59 
20130620,2013.4684,-74.3,73.3,-6.4,rrr,2.3,2.6,8.0,0.0416,Southern_California.20130620.stacov.point-2016/02/16-12:03:01 
20130621,2013.4712,-74.9,73.4,-10.9,rrr,2.4,2.8,8.1,0.0875,Southern_California.20130621.stacov.point-2016/02/16-12:03:02 
20130622,2013.4739,-73.4,73.4,-8.0,rrr,2.3,2.7,8.1,0.0916,Southern_California.20130622.stacov.point-2016/02/16-12:03:04 
20130623,2013.4766,-76.2,73.3,-9.3,rrr,2.3,2.8,8.1,0.0891,Southern_California.20130623.stacov.point-2016/02/16-12:03:05 
20130624,2013.4794,-77.2,70.1,-13.5,rrr,2.4,2.8,8.2,0.084,Southern_California.20130624.stacov.point-2016/02/16-12:03:06 
20130625,2013.4821,-74.5,73.8,-13.2,rrr,2.4,2.7,8.5,0.0598,Southern_California.20130625.stacov.point-2016/02/16-12:03:08 
20130626,2013.4848,-73.0,73.0,-10.4,rrr,2.3,2.7,8.1,0.0936,Southern_California.20130626.stacov.point-2016/02/16-12:03:09 
20130627,2013.4876,-74.4,72.7,-13.1,rrr,2.4,2.7,8.2,0.0746,Southern_California.20130627.stacov.point-2016/02/16-12:03:11 
20130628,2013.4903,-73.8,70.4,-9.5,rrr,2.4,2.7,8.5,0.0648,Southern_California.20130628.stacov.point-2016/02/16-12:03:12 
20130629,2013.4931,-72.5,71.0,-8.0,rrr,2.4,2.8,8.2,0.0856,Southern_California.20130629.stacov.point-2016/02/16-12:03:13 
20130630,2013.4958,-72.9,70.9,-13.2,rrr,2.4,2.7,8.5,0.0598,Southern_California.20130630.stacov.point-2016/02/16-12:03:15 
20130701,2013.4985,-70.5,71.8,-8.2,rrr,2.4,2.6,8.5,0.0649,Southern_California.20130701.stacov.point-2016/02/16-12:03:16 
20130702,2013.5013,-72.7,70.5,-14.6,rrr,2.4,2.7,8.2,0.0835,Southern_California.20130702.stacov.point-2016/02/16-12:03:18 
20130703,2013.504,-72.7,70.4,-8.3,rrr,2.4,2.8,8.3,0.0822,Southern_California.20130703.stacov.point-2016/02/16-12:03:19 
20130704,2013.5067,-72.1,72.0,-4.5,rrr,2.3,2.8,8.1,0.096,Southern_California.20130704.stacov.point-2016/02/16-12:03:21 
20130705,2013.5095,-71.8,70.9,-1.3,rrr,2.4,2.7,8.5,0.0596,Southern_California.20130705.stacov.point-2016/02/16-12:03:22 
20130706,2013.5122,-73.0,70.1,-6.3,rrr,2.3,2.6,8.0,0.0516,Southern_California.20130706.stacov.point-2016/02/16-12:03:24 
20130707,2013.515,-71.5,70.9,-4.0,rrr,2.4,2.8,8.2,0.0812,Southern_California.20130707.stacov.point-2016/02/16-12:03:25 
20130708,2013.5177,-72.8,70.4,-6.8,rrr,2.5,2.7,8.5,0.0541,Southern_California.20130708.stacov.point-2016/02/16-12:03:26 
20130709,2013.5204,-72.2,70.4,-5.0,rrr,2.4,2.7,8.3,0.0831,Southern_California.20130709.stacov.point-2016/02/16-12:03:28 
20130710,2013.5232,-75.4,70.1,-15.8,rrr,2.3,2.6,8.0,0.0533,Southern_California.20130710.stacov.point-2016/02/16-12:03:29 
20130711,2013.5259,-72.9,71.7,-5.4,rrr,2.5,2.8,8.7,0.0484,Southern_California.20130711.stacov.point-2016/02/16-12:03:31 
20130712,2013.5286,-72.3,69.8,-10.5,rrr,2.3,2.7,8.1,0.0915,Southern_California.20130712.stacov.point-2016/02/16-12:03:32 
20130713,2013.5314,-72.6,69.5,-5.4,rrr,2.4,2.7,8.5,0.0531,Southern_California.20130713.stacov.point-2016/02/16-12:03:34 
20130714,2013.5341,-72.1,70.3,-15.6,rrr,2.4,2.7,8.5,0.0639,Southern_California.20130714.stacov.point-2016/02/16-12:03:35 
20130715,2013.5369,-71.6,68.3,-11.8,rrr,2.4,2.7,8.1,0.1106,Southern_California.20130715.stacov.point-2016/02/16-12:03:37 
20130716,2013.5396,-71.6,69.8,-3.8,rrr,2.3,2.6,8.0,0.0252,Southern_California.20130716.stacov.point-2016/02/16-12:03:38 
20130717,2013.5423,-70.3,69.5,-6.7,rrr,2.4,2.7,8.7,0.0416,Southern_California.20130717.stacov.point-2016/02/16-12:03:40 
20130718,2013.5451,-69.2,71.0,-13.8,rrr,2.4,2.7,8.5,0.0558,Southern_California.20130718.stacov.point-2016/02/16-12:03:41 
20130719,2013.5478,-69.7,70.1,-4.6,rrr,2.4,2.7,8.5,0.0603,Southern_California.20130719.stacov.point-2016/02/16-12:03:43 
20130720,2013.5505,-71.7,71.8,-15.7,rrr,2.4,2.7,8.5,0.0583,Southern_California.20130720.stacov.point-2016/02/16-12:03:44 
20130721,2013.5533,-72.1,71.0,-14.5,rrr,2.4,2.7,8.5,0.0572,Southern_California.20130721.stacov.point-2016/02/16-12:03:45 
20130722,2013.556,-72.9,70.7,-15.8,rrr,2.4,2.7,8.2,0.0779,Southern_California.20130722.stacov.point-2016/02/16-12:03:47 
20130723,2013.5588,-71.2,68.0,-12.3,rrr,2.3,2.6,8.0,0.0316,Southern_California.20130723.stacov.point-2016/02/16-12:03:48 
20130724,2013.5615,-72.3,69.8,-11.1,rrr,2.4,2.7,8.1,0.0919,Southern_California.20130724.stacov.point-2016/02/16-12:03:50 
20130725,2013.5642,-71.3,68.1,-5.4,rrr,2.5,2.7,8.5,0.0523,Southern_California.20130725.stacov.point-2016/02/16-12:03:51 
20130726,2013.567,-72.9,69.3,-12.8,rrr,2.3,2.6,8.0,0.0303,Southern_California.20130726.stacov.point-2016/02/16-12:03:53 
20130727,2013.5697,-72.2,68.8,-18.0,rrr,2.4,2.7,8.5,0.0565,Southern_California.20130727.stacov.point-2016/02/16-12:03:54 
20130728,2013.5725,-72.5,65.7,-11.3,rrr,2.4,2.8,8.5,0.0662,Southern_California.20130728.stacov.point-2016/02/16-12:03:55 
20130729,2013.5752,-70.3,66.6,-6.7,rrr,2.3,2.8,8.1,0.1015,Southern_California.20130729.stacov.point-2016/02/16-12:03:57 
20130730,2013.5779,-72.0,68.8,-9.0,rrr,2.3,2.6,8.0,0.052,Southern_California.20130730.stacov.point-2016/02/16-12:03:58 
20130731,2013.5807,-70.1,66.3,-12.0,rrr,2.3,2.5,8.0,0.0311,Southern_California.20130731.stacov.point-2016/02/16-12:04:00 
20130801,2013.5834,-69.2,69.3,-7.8,rrr,2.4,2.7,8.5,0.0589,Southern_California.20130801.stacov.point-2016/02/16-12:04:01 
20130802,2013.5861,-68.7,68.8,-2.7,rrr,2.4,2.7,8.5,0.0691,Southern_California.20130802.stacov.point-2016/02/16-12:04:03 
20130803,2013.5889,-71.8,67.0,-0.1,rrr,2.4,2.7,8.1,0.1151,Southern_California.20130803.stacov.point-2016/02/16-12:04:04 
20130804,2013.5916,-70.2,65.9,-10.3,rrr,2.3,2.7,8.1,0.1054,Southern_California.20130804.stacov.point-2016/02/16-12:04:05 
20130805,2013.5944,-69.1,70.8,-13.2,rrr,2.5,2.7,8.5,0.0523,Southern_California.20130805.stacov.point-2016/02/16-12:04:07 
20130806,2013.5971,-70.7,69.7,-20.6,rrr,2.3,2.7,8.1,0.0942,Southern_California.20130806.stacov.point-2016/02/16-12:04:08 
20130807,2013.5998,-69.6,68.7,-7.6,rrr,2.5,2.7,8.5,0.0618,Southern_California.20130807.stacov.point-2016/02/16-12:04:10 
20130808,2013.6026,-71.2,67.8,-6.9,rrr,2.3,2.6,8.0,0.0338,Southern_California.20130808.stacov.point-2016/02/16-12:04:11 
20130809,2013.6053,-72.1,67.3,-4.6,rrr,2.4,2.5,8.0,0.0513,Southern_California.20130809.stacov.point-2016/02/16-12:04:13 
20130810,2013.608,-70.5,68.7,-7.0,rrr,2.3,2.5,8.0,0.0458,Southern_California.20130810.stacov.point-2016/02/16-12:04:14 
20130811,2013.6108,-70.1,69.0,-11.7,rrr,2.3,2.7,8.1,0.1117,Southern_California.20130811.stacov.point-2016/02/16-12:04:16 
20130812,2013.6135,-69.5,69.9,-8.6,rrr,2.3,2.5,8.0,0.045,Southern_California.20130812.stacov.point-2016/02/16-12:04:17 
20130813,2013.6163,-69.5,66.9,-7.7,rrr,2.5,2.8,8.2,0.0744,Southern_California.20130813.stacov.point-2016/02/16-12:04:18 
20130814,2013.619,-71.6,68.6,-4.1,rrr,2.3,2.6,8.0,0.0493,Southern_California.20130814.stacov.point-2016/02/16-12:04:20 
20130815,2013.6217,-71.7,68.7,-7.4,rrr,2.4,2.6,8.0,0.0392,Southern_California.20130815.stacov.point-2016/02/16-12:04:22 
20130816,2013.6245,-72.3,67.9,-3.6,rrr,2.3,2.8,8.1,0.0997,Southern_California.20130816.stacov.point-2016/02/16-12:04:23 
20130817,2013.6272,-71.3,69.5,-11.7,rrr,2.3,2.7,8.1,0.0913,Southern_California.20130817.stacov.point-2016/02/16-12:04:25 
20130818,2013.6299,-69.5,69.5,-3.4,rrr,2.3,2.7,8.1,0.1007,Southern_California.20130818.stacov.point-2016/02/16-12:04:26 
20130819,2013.6327,-70.2,70.6,-13.7,rrr,2.3,2.8,8.1,0.1147,Southern_California.20130819.stacov.point-2016/02/16-12:04:28 
20130820,2013.6354,-71.9,66.2,-6.0,rrr,2.4,2.7,8.5,0.0614,Southern_California.20130820.stacov.point-2016/02/16-12:04:29 
20130821,2013.6382,-71.4,68.2,0.1,rrr,2.3,2.8,8.1,0.1144,Southern_California.20130821.stacov.point-2016/02/16-12:04:31 
20130822,2013.6409,-70.5,69.0,-2.7,rrr,2.5,2.7,8.5,0.0633,Southern_California.20130822.stacov.point-2016/02/16-12:04:32 
20130823,2013.6436,-69.1,68.8,-11.1,rrr,2.4,2.7,8.5,0.0472,Southern_California.20130823.stacov.point-2016/02/16-12:04:33 
20130824,2013.6464,-70.8,66.9,-5.0,rrr,2.4,2.7,8.5,0.0701,Southern_California.20130824.stacov.point-2016/02/16-12:04:35 
20130825,2013.6491,-71.0,68.8,-11.2,rrr,2.4,2.6,8.0,0.0386,Southern_California.20130825.stacov.point-2016/02/16-12:04:36 
20130826,2013.6519,-70.1,66.8,-9.2,rrr,2.4,2.8,8.1,0.0877,Southern_California.20130826.stacov.point-2016/02/16-12:04:38 
20130827,2013.6546,-70.4,67.5,-12.0,rrr,2.3,2.6,8.0,0.05,Southern_California.20130827.stacov.point-2016/02/16-12:04:39 
20130828,2013.6573,-70.3,67.6,-4.3,rrr,2.4,2.8,8.2,0.0803,Southern_California.20130828.stacov.point-2016/02/16-12:04:41 
20130829,2013.6601,-69.0,68.5,-6.7,rrr,2.5,2.7,8.5,0.0923,Southern_California.20130829.stacov.point-2016/02/16-12:04:42 
20130830,2013.6628,-70.5,68.3,-10.4,rrr,2.3,2.6,7.8,0.063,Southern_California.20130830.stacov.point-2016/02/16-12:04:43 
20130831,2013.6655,-69.8,67.0,-3.9,rrr,2.3,2.8,8.1,0.0875,Southern_California.20130831.stacov.point-2016/02/16-12:04:45 
20130901,2013.6683,-72.0,66.7,-10.0,rrr,2.3,2.5,8.0,0.0364,Southern_California.20130901.stacov.point-2016/02/16-12:04:46 
20130902,2013.671,-69.6,65.8,-11.5,rrr,2.4,2.7,8.2,0.0819,Southern_California.20130902.stacov.point-2016/02/16-12:04:48 
20130903,2013.6738,-69.0,68.7,-8.3,rrr,2.4,2.7,8.5,0.0752,Southern_California.20130903.stacov.point-2016/02/16-12:04:49 
20130904,2013.6765,-68.8,67.8,-3.5,rrr,2.4,2.7,8.5,0.0701,Southern_California.20130904.stacov.point-2016/02/16-12:04:51 
20130905,2013.6792,-70.2,68.2,-10.3,rrr,2.3,2.6,8.0,0.0502,Southern_California.20130905.stacov.point-2016/02/16-12:04:52 
20130906,2013.682,-68.9,67.1,-10.2,rrr,2.3,2.5,8.0,0.048,Southern_California.20130906.stacov.point-2016/02/16-12:04:54 
20130907,2013.6847,-69.1,65.7,-22.6,rrr,2.3,2.6,8.0,0.0537,Southern_California.20130907.stacov.point-2016/02/16-12:04:55 
20130908,2013.6874,-68.1,66.0,-14.2,rrr,2.4,2.5,8.1,0.0481,Southern_California.20130908.stacov.point-2016/02/16-12:04:57 
20130909,2013.6902,-73.3,66.1,-2.1,rrr,2.5,2.7,8.5,0.0807,Southern_California.20130909.stacov.point-2016/02/16-12:04:58 
20130910,2013.6929,-68.8,67.0,-8.7,rrr,2.3,2.5,8.0,0.0363,Southern_California.20130910.stacov.point-2016/02/16-12:05:00 
20130911,2013.6957,-68.7,68.7,-14.3,rrr,2.4,2.8,8.5,0.0684,Southern_California.20130911.stacov.point-2016/02/16-12:05:01 
20130912,2013.6984,-68.8,68.3,-10.2,rrr,2.3,2.5,8.0,0.0505,Southern_California.20130912.stacov.point-2016/02/16-12:05:03 
20130913,2013.7011,-70.4,67.8,-4.3,rrr,2.3,2.5,7.8,0.064,Southern_California.20130913.stacov.point-2016/02/16-12:05:04 
20130914,2013.7039,-68.9,67.8,-8.4,rrr,2.4,2.6,8.0,0.0401,Southern_California.20130914.stacov.point-2016/02/16-12:05:06 
20130915,2013.7066,-68.9,67.3,-9.2,rrr,2.4,2.6,8.0,0.0376,Southern_California.20130915.stacov.point-2016/02/16-12:05:07 
20130916,2013.7093,-70.2,67.2,-13.0,rrr,2.3,2.5,8.0,0.0511,Southern_California.20130916.stacov.point-2016/02/16-12:05:08 
20130917,2013.7121,-70.5,68.0,-9.5,rrr,2.3,2.5,8.0,0.0452,Southern_California.20130917.stacov.point-2016/02/16-12:05:10 
20130918,2013.7148,-70.6,66.8,-4.6,rrr,2.3,2.6,8.0,0.057,Southern_California.20130918.stacov.point-2016/02/16-12:05:11 
20130919,2013.7176,-70.9,67.4,-6.1,rrr,2.3,2.6,8.0,0.0384,Southern_California.20130919.stacov.point-2016/02/16-12:05:13 
20130920,2013.7203,-69.1,65.8,-10.9,rrr,2.4,2.6,8.0,0.0447,Southern_California.20130920.stacov.point-2016/02/16-12:05:14 
20130921,2013.723,-70.1,66.0,-6.9,rrr,2.3,2.7,8.1,0.1023,Southern_California.20130921.stacov.point-2016/02/16-12:05:16 
20130922,2013.7258,-70.1,66.4,-4.4,rrr,2.3,2.8,8.1,0.1085,Southern_California.20130922.stacov.point-2016/02/16-12:05:17 
20130923,2013.7285,-69.2,66.5,-9.3,rrr,2.2,2.6,7.6,0.0984,Southern_California.20130923.stacov.point-2016/02/16-12:05:18 
20130924,2013.7313,-69.0,67.8,-6.2,rrr,2.3,2.6,8.0,0.0531,Southern_California.20130924.stacov.point-2016/02/16-12:05:20 
20130925,2013.734,-70.0,65.4,-2.1,rrr,2.3,2.6,8.0,0.0533,Southern_California.20130925.stacov.point-2016/02/16-12:05:22 
20130926,2013.7367,-72.4,64.5,-7.6,rrr,2.3,2.6,8.0,0.0506,Southern_California.20130926.stacov.point-2016/02/16-12:05:23 
20130927,2013.7395,-69.1,66.6,-11.1,rrr,2.2,2.6,7.6,0.0866,Southern_California.20130927.stacov.point-2016/02/16-12:05:25 
20130928,2013.7422,-70.0,65.9,-12.2,rrr,2.2,2.6,7.6,0.0919,Southern_California.20130928.stacov.point-2016/02/16-12:05:26 
20130929,2013.7449,-69.4,66.9,-13.5,rrr,2.3,2.6,8.0,0.0698,Southern_California.20130929.stacov.point-2016/02/16-12:05:28 
20130930,2013.7477,-69.4,66.5,-8.3,rrr,2.2,2.6,7.6,0.0815,Southern_California.20130930.stacov.point-2016/02/16-12:05:29 
20131001,2013.7504,-69.2,66.5,-9.0,rrr,2.2,2.6,7.6,0.083,Southern_California.20131001.stacov.point-2016/02/16-12:05:31 
20131002,2013.7532,-67.7,67.7,-9.3,rrr,2.3,2.6,8.0,0.0439,Southern_California.20131002.stacov.point-2016/02/16-12:05:32 
20131003,2013.7559,-68.8,65.9,-9.7,rrr,2.3,2.6,8.0,0.0516,Southern_California.20131003.stacov.point-2016/02/16-12:05:34 
20131004,2013.7586,-68.9,65.0,-8.3,rrr,2.2,2.6,7.6,0.0909,Southern_California.20131004.stacov.point-2016/02/16-12:05:35 
20131005,2013.7614,-68.5,66.9,-14.8,rrr,2.2,2.6,7.6,0.0866,Southern_California.20131005.stacov.point-2016/02/16-12:05:37 
20131006,2013.7641,-67.9,66.4,-10.7,rrr,2.2,2.6,7.6,0.0919,Southern_California.20131006.stacov.point-2016/02/16-12:05:38 
20131007,2013.7668,-68.9,65.7,-7.8,rrr,2.4,2.6,7.7,0.074,Southern_California.20131007.stacov.point-2016/02/16-12:05:39 
20131008,2013.7696,-68.7,65.5,-13.7,rrr,2.3,2.6,8.0,0.0536,Southern_California.20131008.stacov.point-2016/02/16-12:05:41 
