DateI,DateD,N,E,U,Tech1,dN,dE,dU,Tech2,Descr
20001115,2000.8741,-292.7,324.2,-12.4,rrr,2.7,3.0,9.9,0.0706,Southern_California.20001115.stacov.point-2016/02/16-09:32:59 
20001116,2000.8769,-293.0,326.0,-15.9,rrr,2.8,3.0,10.1,0.0117,Southern_California.20001116.stacov.point-2016/02/16-09:33:00 
20001117,2000.8796,-293.6,324.5,-16.3,rrr,2.7,3.0,9.9,0.0569,Southern_California.20001117.stacov.point-2016/02/16-09:33:01 
20001119,2000.8851,-291.8,326.9,-17.4,rrr,2.8,3.1,10.4,0.0687,Southern_California.20001119.stacov.point-2016/02/16-09:33:02 
20001120,2000.8878,-292.0,326.9,-13.2,rrr,2.7,3.0,9.9,0.0941,Southern_California.20001120.stacov.point-2016/02/16-09:33:03 
20001121,2000.8906,-293.6,326.5,-16.3,rrr,2.7,3.0,9.9,0.0624,Southern_California.20001121.stacov.point-2016/02/16-09:33:03 
20001122,2000.8933,-293.3,327.4,-18.2,rrr,2.8,3.1,10.1,0.0744,Southern_California.20001122.stacov.point-2016/02/16-09:33:04 
20001123,2000.896,-292.4,325.6,-16.0,rrr,2.8,3.2,10.2,0.0892,Southern_California.20001123.stacov.point-2016/02/16-09:33:05 
20001124,2000.8988,-293.2,325.3,-13.8,rrr,2.8,3.0,10.3,0.0382,Southern_California.20001124.stacov.point-2016/02/16-09:33:06 
20001125,2000.9015,-294.2,324.6,-13.8,rrr,2.8,3.0,10.3,0.0481,Southern_California.20001125.stacov.point-2016/02/16-09:33:06 
20001126,2000.9043,-293.6,323.8,-17.8,rrr,2.8,3.0,10.3,0.0719,Southern_California.20001126.stacov.point-2016/02/16-09:33:07 
20001218,2000.9645,-290.4,325.5,-28.5,rrr,6.2,7.7,24.8,-0.1426,Southern_California.20001218.stacov.point-2016/02/16-09:33:23 
20001219,2000.9672,-292.0,324.4,-21.9,rrr,6.3,7.3,24.2,-0.1598,Southern_California.20001219.stacov.point-2016/02/16-09:33:24 
20001222,2000.9754,-293.0,325.0,-25.1,rrr,6.3,7.3,24.1,-0.1062,Southern_California.20001222.stacov.point-2016/02/16-09:33:26 
20001224,2000.9809,-290.7,324.1,-20.4,rrr,5.8,6.8,22.4,-0.0,Southern_California.20001224.stacov.point-2016/02/16-09:33:28 
20001225,2000.9837,-291.9,322.1,-21.4,rrr,5.9,7.0,23.1,0.0173,Southern_California.20001225.stacov.point-2016/02/16-09:33:28 
20001226,2000.9864,-291.9,318.7,-12.9,rrr,5.8,6.8,22.0,-0.0609,Southern_California.20001226.stacov.point-2016/02/16-09:33:29 
20001227,2000.9891,-292.8,324.5,-29.0,rrr,5.8,6.8,21.9,-0.0516,Southern_California.20001227.stacov.point-2016/02/16-09:33:30 
20001228,2000.9919,-289.5,324.2,-9.2,rrr,6.1,7.1,23.4,0.0256,Southern_California.20001228.stacov.point-2016/02/16-09:33:30 
20001230,2000.9974,-294.4,320.2,-18.6,rrr,5.8,6.9,21.2,-0.0807,Southern_California.20001230.stacov.point-2016/02/16-09:33:32 
20001231,2001.0001,-292.1,321.7,-18.6,rrr,5.8,7.1,22.5,-0.0607,Southern_California.20001231.stacov.point-2016/02/16-09:33:33 
20010101,2001.0028,-295.4,320.0,-22.9,rrr,5.9,6.8,21.3,-0.0777,Southern_California.20010101.stacov.point-2016/02/16-09:33:33 
20010102,2001.0056,-292.5,320.6,-21.5,rrr,5.9,7.0,22.5,-0.0525,Southern_California.20010102.stacov.point-2016/02/16-09:33:34 
20010104,2001.011,-291.0,318.7,-6.0,rrr,5.8,7.1,23.1,-0.0106,Southern_California.20010104.stacov.point-2016/02/16-09:33:36 
20010105,2001.0138,-291.0,320.5,-23.6,rrr,6.2,7.4,23.4,0.0101,Southern_California.20010105.stacov.point-2016/02/16-09:33:36 
20010107,2001.0193,-289.4,320.4,-12.8,rrr,5.7,6.9,21.1,-0.0983,Southern_California.20010107.stacov.point-2016/02/16-09:33:38 
20010108,2001.022,-294.6,322.7,-20.4,rrr,5.9,7.5,23.1,-0.0006,Southern_California.20010108.stacov.point-2016/02/16-09:33:39 
20010109,2001.0247,-291.7,320.9,-14.4,rrr,5.5,6.7,20.1,-0.0735,Southern_California.20010109.stacov.point-2016/02/16-09:33:39 
20010111,2001.0302,-294.0,325.4,-41.7,rrr,5.7,7.0,20.7,-0.1014,Southern_California.20010111.stacov.point-2016/02/16-09:33:41 
20010112,2001.0329,-299.7,318.5,-23.7,rrr,5.7,6.9,20.5,-0.0655,Southern_California.20010112.stacov.point-2016/02/16-09:33:41 
20010113,2001.0357,-294.9,320.8,-24.0,rrr,5.9,7.2,23.1,-0.0211,Southern_California.20010113.stacov.point-2016/02/16-09:33:42 
20010114,2001.0384,-291.0,319.7,-17.5,rrr,5.4,7.0,20.9,-0.0397,Southern_California.20010114.stacov.point-2016/02/16-09:33:43 
20010116,2001.0439,-288.6,318.5,-15.8,rrr,5.7,7.1,22.0,-0.0321,Southern_California.20010116.stacov.point-2016/02/16-09:33:44 
20010118,2001.0494,-290.4,319.8,-24.8,rrr,5.6,7.0,21.4,-0.005,Southern_California.20010118.stacov.point-2016/02/16-09:33:46 
20010119,2001.0521,-291.2,320.5,-29.2,rrr,5.6,6.9,22.0,0.0006,Southern_California.20010119.stacov.point-2016/02/16-09:33:47 
20010120,2001.0548,-290.9,318.0,-27.4,rrr,5.4,7.1,21.2,0.0513,Southern_California.20010120.stacov.point-2016/02/16-09:33:47 
20010121,2001.0576,-290.4,318.1,-24.6,rrr,5.4,7.2,21.8,0.0178,Southern_California.20010121.stacov.point-2016/02/16-09:33:48 
20010124,2001.0658,-296.7,316.6,-31.1,rrr,5.6,7.4,22.5,-0.0234,Southern_California.20010124.stacov.point-2016/02/16-09:33:50 
20010125,2001.0685,-290.2,319.7,-24.6,rrr,5.7,7.3,23.1,0.0429,Southern_California.20010125.stacov.point-2016/02/16-09:33:51 
20010126,2001.0713,-295.3,314.3,-29.0,rrr,5.7,7.7,23.1,0.0215,Southern_California.20010126.stacov.point-2016/02/16-09:33:52 
20010127,2001.074,-294.3,317.5,-27.8,rrr,5.7,7.5,22.5,0.0271,Southern_California.20010127.stacov.point-2016/02/16-09:33:52 
20010128,2001.0768,-292.2,317.3,-22.6,rrr,5.7,7.5,22.2,0.0299,Southern_California.20010128.stacov.point-2016/02/16-09:33:53 
20010130,2001.0822,-287.9,317.5,-27.5,rrr,5.4,6.9,21.5,-0.0141,Southern_California.20010130.stacov.point-2016/02/16-09:33:55 
20010131,2001.085,-289.3,316.5,-29.2,rrr,5.4,7.0,21.7,-0.0931,Southern_California.20010131.stacov.point-2016/02/16-09:33:55 
20010201,2001.0877,-288.6,317.6,-19.0,rrr,5.5,6.9,22.7,-0.0505,Southern_California.20010201.stacov.point-2016/02/16-09:33:56 
20010202,2001.0904,-288.3,317.8,-23.2,rrr,5.4,6.7,21.6,-0.0482,Southern_California.20010202.stacov.point-2016/02/16-09:33:57 
20010203,2001.0932,-288.3,317.9,-27.2,rrr,5.4,6.3,21.2,-0.056,Southern_California.20010203.stacov.point-2016/02/16-09:33:58 
20010204,2001.0959,-292.2,316.1,-24.2,rrr,5.4,6.4,21.7,-0.0293,Southern_California.20010204.stacov.point-2016/02/16-09:33:58 
20010205,2001.0987,-288.9,317.0,-22.6,rrr,5.4,6.3,21.7,-0.058,Southern_California.20010205.stacov.point-2016/02/16-09:33:59 
20010206,2001.1014,-288.4,316.5,-17.0,rrr,5.5,6.6,22.9,-0.0521,Southern_California.20010206.stacov.point-2016/02/16-09:34:00 
20010207,2001.1041,-286.5,315.0,-18.7,rrr,5.5,6.7,23.4,-0.0412,Southern_California.20010207.stacov.point-2016/02/16-09:34:01 
20010208,2001.1069,-285.6,314.9,-13.0,rrr,5.4,6.3,21.3,-0.0704,Southern_California.20010208.stacov.point-2016/02/16-09:34:01 
20010210,2001.1123,-293.9,317.3,-32.9,rrr,5.3,6.3,21.6,-0.0468,Southern_California.20010210.stacov.point-2016/02/16-09:34:03 
20010211,2001.1151,-287.3,316.0,-19.3,rrr,5.7,7.4,24.0,-0.0834,Southern_California.20010211.stacov.point-2016/02/16-09:34:04 
20010212,2001.1178,-288.3,316.0,-25.5,rrr,5.8,7.9,24.6,-0.0079,Southern_California.20010212.stacov.point-2016/02/16-09:34:04 
20010213,2001.1206,-289.3,317.9,-24.5,rrr,5.2,6.3,22.1,-0.0772,Southern_California.20010213.stacov.point-2016/02/16-09:34:05 
20010215,2001.126,-288.6,318.7,-24.6,rrr,5.3,6.3,22.7,-0.0597,Southern_California.20010215.stacov.point-2016/02/16-09:34:06 
20010216,2001.1288,-286.0,315.3,-16.1,rrr,5.1,6.2,21.1,-0.0961,Southern_California.20010216.stacov.point-2016/02/16-09:34:07 
20010218,2001.1342,-291.1,315.8,-21.5,rrr,5.8,7.9,23.7,-0.1872,Southern_California.20010218.stacov.point-2016/02/16-09:34:09 
20010219,2001.137,-286.6,318.8,-31.4,rrr,5.4,6.5,21.5,-0.1685,Southern_California.20010219.stacov.point-2016/02/16-09:34:09 
20010222,2001.1452,-287.7,316.5,-27.5,rrr,5.2,6.5,21.1,-0.1483,Southern_California.20010222.stacov.point-2016/02/16-09:34:12 
20010225,2001.1534,-291.3,316.6,-33.9,rrr,5.2,6.8,22.3,-0.1287,Southern_California.20010225.stacov.point-2016/02/16-09:34:14 
20010226,2001.1562,-286.7,313.2,-27.1,rrr,5.4,7.4,20.9,-0.2381,Southern_California.20010226.stacov.point-2016/02/16-09:34:15 
20010227,2001.1589,-288.5,314.7,-30.2,rrr,5.5,6.7,21.6,-0.3018,Southern_California.20010227.stacov.point-2016/02/16-09:34:15 
20010228,2001.1616,-286.1,314.7,-27.2,rrr,5.6,6.5,21.8,-0.3148,Southern_California.20010228.stacov.point-2016/02/16-09:34:16 
20010301,2001.1644,-288.1,316.6,-35.8,rrr,5.6,7.1,20.0,-0.3271,Southern_California.20010301.stacov.point-2016/02/16-09:34:17 
20010303,2001.1698,-287.5,314.3,-18.8,rrr,5.8,7.5,20.9,-0.2871,Southern_California.20010303.stacov.point-2016/02/16-09:34:18 
20010304,2001.1726,-290.7,316.7,-29.7,rrr,5.5,6.5,20.9,-0.237,Southern_California.20010304.stacov.point-2016/02/16-09:34:19 
20010305,2001.1753,-287.7,320.9,-46.0,rrr,5.9,7.5,22.0,-0.2551,Southern_California.20010305.stacov.point-2016/02/16-09:34:20 
20010307,2001.1808,-287.7,316.6,-15.7,rrr,5.2,6.2,20.4,-0.1962,Southern_California.20010307.stacov.point-2016/02/16-09:34:21 
20010309,2001.1863,-286.5,314.0,-31.5,rrr,5.6,6.5,21.6,-0.1487,Southern_California.20010309.stacov.point-2016/02/16-09:34:23 
20010310,2001.189,-283.8,310.4,-26.8,rrr,6.3,7.8,22.4,-0.2366,Southern_California.20010310.stacov.point-2016/02/16-09:34:24 
20010311,2001.1917,-285.7,311.1,-24.1,rrr,5.7,6.9,19.7,-0.3184,Southern_California.20010311.stacov.point-2016/02/16-09:34:24 
20010312,2001.1945,-289.0,315.1,-23.1,rrr,5.4,6.1,19.9,-0.1848,Southern_California.20010312.stacov.point-2016/02/16-09:34:25 
20010313,2001.1972,-284.2,313.5,-16.8,rrr,5.5,6.5,19.9,-0.1936,Southern_California.20010313.stacov.point-2016/02/16-09:34:26 
20010314,2001.2,-283.9,314.0,-27.2,rrr,5.4,6.1,19.3,-0.2234,Southern_California.20010314.stacov.point-2016/02/16-09:34:27 
20010316,2001.2054,-285.0,311.6,-13.4,rrr,5.5,6.1,18.5,-0.1915,Southern_California.20010316.stacov.point-2016/02/16-09:34:28 
20010317,2001.2082,-288.1,315.6,-25.0,rrr,5.9,6.8,19.4,-0.2747,Southern_California.20010317.stacov.point-2016/02/16-09:34:29 
20010318,2001.2109,-285.9,316.7,-23.3,rrr,5.3,5.9,18.5,-0.2061,Southern_California.20010318.stacov.point-2016/02/16-09:34:30 
20010319,2001.2136,-283.0,318.8,-8.0,rrr,5.3,6.2,18.4,-0.1939,Southern_California.20010319.stacov.point-2016/02/16-09:34:30 
20010320,2001.2164,-280.3,314.5,-17.2,rrr,5.3,5.9,19.0,-0.1546,Southern_California.20010320.stacov.point-2016/02/16-09:34:31 
20010322,2001.2219,-284.8,312.5,-22.4,rrr,5.3,6.0,18.6,-0.1982,Southern_California.20010322.stacov.point-2016/02/16-09:34:33 
20010323,2001.2246,-287.5,312.7,-23.1,rrr,5.3,6.0,19.2,-0.1702,Southern_California.20010323.stacov.point-2016/02/16-09:34:33 
20010324,2001.2273,-285.9,314.2,-23.3,rrr,5.3,6.0,19.0,-0.2009,Southern_California.20010324.stacov.point-2016/02/16-09:34:34 
20010325,2001.2301,-284.7,317.8,-19.7,rrr,5.4,6.2,19.1,-0.2156,Southern_California.20010325.stacov.point-2016/02/16-09:34:35 
20010326,2001.2328,-283.2,313.1,-15.5,rrr,4.5,5.0,17.0,-0.1169,Southern_California.20010326.stacov.point-2016/02/16-09:34:35 
20010328,2001.2383,-287.2,310.9,-26.7,rrr,6.3,7.4,25.5,-0.225,Southern_California.20010328.stacov.point-2016/02/16-09:34:37 
20010411,2001.2765,-286.1,313.5,-23.2,rrr,5.7,6.2,19.8,-0.1363,Southern_California.20010411.stacov.point-2016/02/16-09:34:47 
20010412,2001.2792,-283.7,314.9,-15.9,rrr,6.1,6.8,21.8,-0.189,Southern_California.20010412.stacov.point-2016/02/16-09:34:48 
20010413,2001.282,-284.2,316.3,-13.6,rrr,5.7,6.1,19.7,-0.2126,Southern_California.20010413.stacov.point-2016/02/16-09:34:49 
20010414,2001.2847,-282.1,310.7,-19.6,rrr,5.8,6.4,20.6,-0.222,Southern_California.20010414.stacov.point-2016/02/16-09:34:50 
20010415,2001.2875,-284.3,313.7,-18.8,rrr,6.0,6.3,20.9,-0.1577,Southern_California.20010415.stacov.point-2016/02/16-09:34:50 
20010416,2001.2902,-280.2,312.4,-22.6,rrr,6.3,7.0,22.6,-0.1817,Southern_California.20010416.stacov.point-2016/02/16-09:34:51 
20010418,2001.2957,-282.6,313.0,-18.4,rrr,6.7,6.2,23.4,-0.1175,Southern_California.20010418.stacov.point-2016/02/16-09:34:52 
20010419,2001.2984,-287.6,311.4,-21.5,rrr,5.6,6.1,20.5,-0.1772,Southern_California.20010419.stacov.point-2016/02/16-09:34:53 
20010420,2001.3011,-285.6,309.3,-24.5,rrr,5.7,5.8,20.2,-0.1652,Southern_California.20010420.stacov.point-2016/02/16-09:34:54 
20010422,2001.3066,-280.9,312.6,-21.7,rrr,6.4,6.5,22.7,-0.0691,Southern_California.20010422.stacov.point-2016/02/16-09:34:55 
20010423,2001.3094,-286.6,313.0,-33.1,rrr,6.0,5.9,21.2,-0.087,Southern_California.20010423.stacov.point-2016/02/16-09:34:56 
20010424,2001.3121,-286.9,311.5,-12.3,rrr,5.8,6.1,21.1,-0.1022,Southern_California.20010424.stacov.point-2016/02/16-09:34:57 
20010425,2001.3148,-284.2,308.2,-6.1,rrr,5.6,5.9,20.4,-0.1531,Southern_California.20010425.stacov.point-2016/02/16-09:34:58 
20010426,2001.3176,-286.4,310.3,-21.1,rrr,5.7,5.9,20.3,-0.1193,Southern_California.20010426.stacov.point-2016/02/16-09:34:58 
20010428,2001.323,-286.4,310.9,-4.3,rrr,5.7,5.9,20.5,-0.1317,Southern_California.20010428.stacov.point-2016/02/16-09:35:00 
20010429,2001.3258,-283.4,308.7,-7.7,rrr,5.8,6.3,21.3,-0.2165,Southern_California.20010429.stacov.point-2016/02/16-09:35:01 
20010430,2001.3285,-282.6,307.8,-12.3,rrr,6.3,6.8,22.0,-0.257,Southern_California.20010430.stacov.point-2016/02/16-09:35:01 
20010501,2001.3313,-283.0,309.9,-12.5,rrr,6.2,6.6,21.9,-0.2813,Southern_California.20010501.stacov.point-2016/02/16-09:35:02 
20010503,2001.3367,-285.4,313.0,-20.0,rrr,5.7,5.8,19.9,-0.1352,Southern_California.20010503.stacov.point-2016/02/16-09:35:04 
20010504,2001.3395,-283.8,307.8,-21.4,rrr,6.0,6.0,21.5,-0.0857,Southern_California.20010504.stacov.point-2016/02/16-09:35:04 
20010505,2001.3422,-283.3,309.6,-20.1,rrr,5.8,5.9,19.8,-0.1421,Southern_California.20010505.stacov.point-2016/02/16-09:35:05 
20010506,2001.345,-282.1,310.8,-22.5,rrr,5.7,5.8,19.8,-0.1026,Southern_California.20010506.stacov.point-2016/02/16-09:35:06 
20010507,2001.3477,-285.2,308.3,-33.9,rrr,6.0,6.0,21.4,-0.0625,Southern_California.20010507.stacov.point-2016/02/16-09:35:07 
20010508,2001.3504,-283.1,308.9,-35.3,rrr,5.7,5.9,19.5,-0.0625,Southern_California.20010508.stacov.point-2016/02/16-09:35:07 
20010509,2001.3532,-284.5,309.1,-28.0,rrr,5.8,5.8,19.0,-0.0663,Southern_California.20010509.stacov.point-2016/02/16-09:35:08 
20010512,2001.3614,-283.9,309.1,-32.3,rrr,6.5,6.3,21.2,-0.0024,Southern_California.20010512.stacov.point-2016/02/16-09:35:10 
20010514,2001.3669,-279.5,309.0,-17.7,rrr,5.9,6.0,19.1,-0.1054,Southern_California.20010514.stacov.point-2016/02/16-09:35:12 
20010517,2001.3751,-283.5,302.4,-20.2,rrr,6.2,6.4,19.0,-0.1697,Southern_California.20010517.stacov.point-2016/02/16-09:35:14 
20010518,2001.3778,-281.7,307.3,-22.7,rrr,6.0,6.1,19.0,-0.052,Southern_California.20010518.stacov.point-2016/02/16-09:35:15 
20010520,2001.3833,-280.5,309.3,-12.8,rrr,6.0,6.0,18.8,-0.014,Southern_California.20010520.stacov.point-2016/02/16-09:35:16 
20010522,2001.3888,-283.2,308.7,-28.0,rrr,6.2,6.0,19.2,0.0124,Southern_California.20010522.stacov.point-2016/02/16-09:35:18 
20010524,2001.3942,-282.4,306.9,-20.4,rrr,5.8,6.0,18.7,-0.0161,Southern_California.20010524.stacov.point-2016/02/16-09:35:19 
20010525,2001.397,-282.9,306.9,-14.8,rrr,5.6,6.1,18.9,0.0096,Southern_California.20010525.stacov.point-2016/02/16-09:35:20 
20010526,2001.3997,-285.1,305.4,-18.3,rrr,5.7,6.3,19.4,0.0187,Southern_California.20010526.stacov.point-2016/02/16-09:35:21 
20010528,2001.4052,-282.1,305.6,-9.5,rrr,5.8,6.2,19.6,-0.0203,Southern_California.20010528.stacov.point-2016/02/16-09:35:22 
20010530,2001.4107,-281.0,307.5,-20.6,rrr,5.9,6.2,20.3,0.0268,Southern_California.20010530.stacov.point-2016/02/16-09:35:24 
20010531,2001.4134,-282.1,307.4,-26.8,rrr,5.8,6.4,20.9,0.0639,Southern_California.20010531.stacov.point-2016/02/16-09:35:25 
20010601,2001.4161,-278.1,307.0,-24.3,rrr,5.6,6.3,20.3,0.0274,Southern_California.20010601.stacov.point-2016/02/16-09:35:25 
20010604,2001.4244,-281.5,306.3,-15.8,rrr,5.5,6.1,20.2,0.0026,Southern_California.20010604.stacov.point-2016/02/16-09:35:28 
20010605,2001.4271,-285.0,307.1,-22.0,rrr,5.6,6.2,21.3,0.0165,Southern_California.20010605.stacov.point-2016/02/16-09:35:28 
20010607,2001.4326,-282.2,305.3,-4.0,rrr,5.7,6.4,22.1,0.0053,Southern_California.20010607.stacov.point-2016/02/16-09:35:30 
20010608,2001.4353,-283.6,307.1,-18.3,rrr,5.7,6.3,21.4,0.0229,Southern_California.20010608.stacov.point-2016/02/16-09:35:31 
20010609,2001.438,-280.4,312.1,-23.2,rrr,5.6,6.2,21.0,0.0262,Southern_California.20010609.stacov.point-2016/02/16-09:35:31 
20010610,2001.4408,-285.4,307.1,-15.3,rrr,5.6,6.1,20.9,0.0149,Southern_California.20010610.stacov.point-2016/02/16-09:35:32 
20010611,2001.4435,-280.5,306.3,-12.9,rrr,5.7,6.5,22.8,0.0428,Southern_California.20010611.stacov.point-2016/02/16-09:35:33 
20010612,2001.4463,-282.8,303.9,-11.4,rrr,6.0,6.9,24.3,0.0575,Southern_California.20010612.stacov.point-2016/02/16-09:35:34 
20010613,2001.449,-278.9,312.9,-6.8,rrr,6.1,7.6,26.2,0.0264,Southern_California.20010613.stacov.point-2016/02/16-09:35:35 
20010614,2001.4517,-282.5,307.6,-25.1,rrr,5.7,6.4,21.9,0.062,Southern_California.20010614.stacov.point-2016/02/16-09:35:35 
20010615,2001.4545,-281.7,308.6,-15.8,rrr,6.0,6.3,22.6,0.039,Southern_California.20010615.stacov.point-2016/02/16-09:35:36 
20010616,2001.4572,-282.2,307.9,-19.0,rrr,5.8,6.3,22.2,0.0142,Southern_California.20010616.stacov.point-2016/02/16-09:35:37 
20010617,2001.4599,-281.0,310.0,-12.2,rrr,5.9,6.3,21.9,0.0264,Southern_California.20010617.stacov.point-2016/02/16-09:35:38 
20010618,2001.4627,-281.3,311.8,-19.9,rrr,5.9,6.4,22.2,0.0499,Southern_California.20010618.stacov.point-2016/02/16-09:35:38 
20010619,2001.4654,-281.0,307.0,-15.6,rrr,6.1,6.0,21.2,0.0744,Southern_California.20010619.stacov.point-2016/02/16-09:35:39 
20010620,2001.4682,-279.4,306.4,-19.6,rrr,6.3,7.0,24.1,-0.0267,Southern_California.20010620.stacov.point-2016/02/16-09:35:40 
20010622,2001.4736,-282.5,309.2,-20.3,rrr,6.4,6.3,21.9,0.0374,Southern_California.20010622.stacov.point-2016/02/16-09:35:41 
20010623,2001.4764,-281.8,308.3,-18.6,rrr,6.0,6.2,21.3,0.0707,Southern_California.20010623.stacov.point-2016/02/16-09:35:42 
20010624,2001.4791,-281.1,304.9,-22.0,rrr,6.1,6.1,20.7,0.1067,Southern_California.20010624.stacov.point-2016/02/16-09:35:43 
20010626,2001.4846,-281.0,305.4,-20.4,rrr,5.9,6.0,19.9,0.1189,Southern_California.20010626.stacov.point-2016/02/16-09:35:44 
20010627,2001.4873,-275.5,305.6,-21.6,rrr,5.8,6.2,20.6,0.1384,Southern_California.20010627.stacov.point-2016/02/16-09:35:45 
20010905,2001.679,-274.1,304.9,-23.0,rrr,6.8,8.1,24.6,0.0378,Southern_California.20010905.stacov.point-2016/02/16-09:36:39 
20010906,2001.6817,-280.2,299.8,-19.2,rrr,5.9,6.3,20.9,0.0494,Southern_California.20010906.stacov.point-2016/02/16-09:36:40 
20010908,2001.6872,-273.4,301.7,-30.5,rrr,5.8,6.1,19.6,0.101,Southern_California.20010908.stacov.point-2016/02/16-09:36:41 
20010909,2001.6899,-277.9,301.5,-26.1,rrr,5.5,6.0,19.9,0.0807,Southern_California.20010909.stacov.point-2016/02/16-09:36:42 
20010910,2001.6927,-280.7,301.8,-34.5,rrr,5.6,6.3,20.4,0.0349,Southern_California.20010910.stacov.point-2016/02/16-09:36:43 
20010912,2001.6981,-280.8,300.6,-23.4,rrr,6.3,7.2,24.7,0.0758,Southern_California.20010912.stacov.point-2016/02/16-09:36:45 
20010913,2001.7009,-274.4,301.6,-25.4,rrr,5.9,6.5,21.6,0.0207,Southern_California.20010913.stacov.point-2016/02/16-09:36:45 
20010914,2001.7036,-276.8,302.9,-25.9,rrr,5.4,6.0,20.7,0.0584,Southern_California.20010914.stacov.point-2016/02/16-09:36:46 
20010915,2001.7064,-273.8,301.9,-32.3,rrr,5.7,6.3,21.3,0.0538,Southern_California.20010915.stacov.point-2016/02/16-09:36:47 
20010916,2001.7091,-273.9,303.6,-39.5,rrr,5.7,6.3,21.3,0.0754,Southern_California.20010916.stacov.point-2016/02/16-09:36:48 
20010918,2001.7146,-276.8,299.6,-24.7,rrr,5.7,6.1,21.0,0.0447,Southern_California.20010918.stacov.point-2016/02/16-09:36:49 
20010919,2001.7173,-275.9,301.0,-24.1,rrr,5.6,6.1,20.8,0.0448,Southern_California.20010919.stacov.point-2016/02/16-09:36:50 
20010920,2001.72,-277.4,297.9,-39.9,rrr,6.4,6.9,21.8,-0.0162,Southern_California.20010920.stacov.point-2016/02/16-09:36:51 
20010923,2001.7283,-274.1,299.9,-21.9,rrr,5.7,6.2,22.1,0.0265,Southern_California.20010923.stacov.point-2016/02/16-09:36:53 
20010924,2001.731,-274.7,298.5,-33.0,rrr,5.5,6.1,21.6,0.0598,Southern_California.20010924.stacov.point-2016/02/16-09:36:54 
20010926,2001.7365,-273.5,298.3,-27.0,rrr,5.8,6.8,22.2,0.0756,Southern_California.20010926.stacov.point-2016/02/16-09:36:55 
20010927,2001.7392,-273.4,299.3,-21.9,rrr,5.8,6.9,22.8,0.0839,Southern_California.20010927.stacov.point-2016/02/16-09:36:56 
20010928,2001.7419,-273.4,298.7,-17.7,rrr,5.6,6.3,22.3,0.0522,Southern_California.20010928.stacov.point-2016/02/16-09:36:57 
20011006,2001.7639,-276.5,300.1,-31.2,rrr,5.6,6.1,22.4,0.0264,Southern_California.20011006.stacov.point-2016/02/16-09:37:03 
20011007,2001.7666,-276.5,297.8,-25.8,rrr,5.7,6.2,21.7,0.1247,Southern_California.20011007.stacov.point-2016/02/16-09:37:04 
20011008,2001.7693,-276.5,298.8,-12.2,rrr,6.0,6.4,23.1,0.0674,Southern_California.20011008.stacov.point-2016/02/16-09:37:05 
20011009,2001.7721,-276.1,298.8,-29.7,rrr,6.0,6.3,22.1,0.1067,Southern_California.20011009.stacov.point-2016/02/16-09:37:06 
20011010,2001.7748,-277.5,299.3,-25.5,rrr,5.9,6.4,22.9,0.0894,Southern_California.20011010.stacov.point-2016/02/16-09:37:06 
20011011,2001.7775,-273.8,298.6,-23.1,rrr,5.7,6.3,22.7,0.0057,Southern_California.20011011.stacov.point-2016/02/16-09:37:07 
20011013,2001.783,-276.0,300.9,-18.5,rrr,6.0,6.8,24.5,0.1143,Southern_California.20011013.stacov.point-2016/02/16-09:37:09 
20011014,2001.7858,-273.5,301.4,-21.3,rrr,5.8,6.6,23.7,0.0774,Southern_California.20011014.stacov.point-2016/02/16-09:37:10 
20011015,2001.7885,-272.5,298.3,-26.0,rrr,6.0,6.7,23.8,0.0778,Southern_California.20011015.stacov.point-2016/02/16-09:37:10 
20011019,2001.7994,-273.5,296.0,-25.3,rrr,5.9,6.7,22.6,0.1506,Southern_California.20011019.stacov.point-2016/02/16-09:37:13 
20011022,2001.8077,-273.5,296.1,-12.7,rrr,6.0,6.7,22.4,0.1362,Southern_California.20011022.stacov.point-2016/02/16-09:37:16 
20011023,2001.8104,-271.6,298.9,-25.1,rrr,6.0,6.7,22.2,0.1279,Southern_California.20011023.stacov.point-2016/02/16-09:37:17 
20011024,2001.8131,-273.8,295.4,-28.1,rrr,6.0,7.0,23.0,-0.0111,Southern_California.20011024.stacov.point-2016/02/16-09:37:17 
20011025,2001.8159,-272.5,300.0,-10.0,rrr,6.2,6.8,22.3,0.0884,Southern_California.20011025.stacov.point-2016/02/16-09:37:18 
20011026,2001.8186,-271.0,300.2,-24.6,rrr,5.8,6.8,21.8,0.0109,Southern_California.20011026.stacov.point-2016/02/16-09:37:19 
20011027,2001.8213,-269.4,298.3,-22.7,rrr,6.0,6.7,22.3,0.0417,Southern_California.20011027.stacov.point-2016/02/16-09:37:20 
20011028,2001.8242,-272.0,299.9,-11.0,rrr,6.4,7.2,23.7,0.0255,Southern_California.20011028.stacov.point-2016/02/16-09:37:21 
20011029,2001.8269,-270.7,299.1,-5.5,rrr,5.9,6.9,21.7,0.0582,Southern_California.20011029.stacov.point-2016/02/16-09:37:21 
20011030,2001.8297,-273.0,298.1,-10.2,rrr,5.8,6.9,22.1,0.0956,Southern_California.20011030.stacov.point-2016/02/16-09:37:22 
20011031,2001.8324,-270.3,299.6,-3.5,rrr,5.6,6.4,20.3,0.0863,Southern_California.20011031.stacov.point-2016/02/16-09:37:23 
20011102,2001.8379,-269.1,298.6,-14.7,rrr,5.7,6.5,20.4,0.117,Southern_California.20011102.stacov.point-2016/02/16-09:37:25 
